X_coords,Y_coords,cellID,BET_jan-mar,BET_apr-jun,BET_jul-sep,BET_oct-dec
-99.5,-39.5,41,0.02252208225896051,NA,NA,0.004318047754470326
-98.5,-39.5,42,0.02477157853214302,NA,NA,0.004179828791351862
-97.5,-39.5,43,0.02733137102963506,NA,NA,0.004575515133875924
-96.5,-39.5,44,0.023140197483183536,NA,NA,0.004332344368639783
-95.5,-39.5,45,0.013616036885736258,NA,NA,0.002431638284372076
-94.5,-39.5,46,0.01112918303596322,NA,NA,0.002221712113146443
-93.5,-39.5,47,0.012088933319871159,NA,NA,0.0021913347690960365
-92.5,-39.5,48,0.010453320594191729,NA,NA,0.002145475495627022
-91.5,-39.5,49,0.011543949069035685,NA,NA,0.002267214514804202
-90.5,-39.5,50,0.011644457740928985,NA,NA,0.00229360669573886
-79.5,-39.5,61,0.007828773874498617,NA,NA,NA
-78.5,-39.5,62,0.008021055132371746,NA,NA,NA
-77.5,-39.5,63,0.007998103774535678,NA,NA,NA
-76.5,-39.5,64,0.008089864847253285,NA,NA,NA
-75.5,-39.5,65,0.008322442828763507,NA,NA,NA
-74.5,-39.5,66,0.008324573373643682,NA,NA,NA
-73.5,-39.5,67,0.012965012014629157,NA,NA,NA
-72.5,-39.5,68,0.014202185903689052,NA,NA,NA
-71.5,-39.5,69,0.009595361370460779,NA,NA,NA
-70.5,-39.5,70,0.012702302893815577,NA,NA,NA
-69.5,-39.5,71,0.03598694269072665,NA,NA,0.007732370749534027
-68.5,-39.5,72,0.12711548663307942,NA,NA,0.015778444918471267
-67.5,-39.5,73,0.16312450135366752,NA,NA,0.02725331870811922
-66.5,-39.5,74,0.1613061598297616,NA,NA,0.04412495481272844
-65.5,-39.5,75,0.1587278015538239,NA,NA,0.04269068762121396
-64.5,-39.5,76,0.17113366647175568,NA,NA,0.044703112582580855
-63.5,-39.5,77,0.1901944368480469,NA,NA,0.04414764903112646
-62.5,-39.5,78,0.20449696146952287,NA,NA,0.03743040841872426
-61.5,-39.5,79,0.19579785260803653,NA,NA,0.03718326832199848
-60.5,-39.5,80,0.1649589691177256,NA,NA,0.031952986426361366
-29.5,-39.5,107,0.008760381882522678,0.002049940688449742,0.004941231218690691,0.007604152965863649
-28.5,-39.5,108,0.01593179346177692,0.002030728102798819,0.0049834750179703294,0.007932693310231657
-27.5,-39.5,109,0.011335441905860225,0.005423770348411226,0.003952263371284661,0.007946323985954636
-26.5,-39.5,110,0.018035691999566783,0.0027147295342953128,0.004546141367698218,0.009075987214312907
-25.5,-39.5,111,0.018937939154099147,0.0032569503217204695,0.004491070894578667,0.009108701461176604
-24.5,-39.5,112,0.018859863647134767,0.003805498682876395,0.004559266297471933,0.007628119969656637
-23.5,-39.5,113,0.009837218894083125,0.002831640123787757,0.0029429421002900337,0.004785510737112629
-22.5,-39.5,114,0.008681997714990345,0.0025498211281690286,0.002640307177912745,0.004307431919075481
-21.5,-39.5,115,0.009903123353510464,0.002320406287973336,0.0026336158689642688,0.004572035081974018
-20.5,-39.5,116,0.009517356707198462,0.0022653162060645537,0.002456699673077246,0.0050023357825934285
80.5,-39.5,214,0.009750995626078743,NA,NA,0.010591868946757219
81.5,-39.5,215,0.010257041815341452,NA,NA,0.010628470904750218
82.5,-39.5,216,0.008110115649911044,NA,NA,0.008565318238401445
83.5,-39.5,217,0.006844712149321775,NA,NA,0.007482197159783353
84.5,-39.5,218,0.0069803892783623376,NA,NA,0.00748972367153633
85.5,-39.5,219,0.006956158518153144,NA,NA,0.007295813556071857
86.5,-39.5,220,0.006836557813207296,NA,NA,0.006545055576653629
87.5,-39.5,221,0.006667803495055461,NA,NA,0.0038840142137512895
88.5,-39.5,222,0.00696475095817215,NA,NA,0.00396866127461089
89.5,-39.5,223,0.007434703110443022,NA,NA,0.0041966484529330425
-99.5,-38.5,281,0.027743066387577328,NA,NA,0.004616518661583439
-98.5,-38.5,282,0.025791703370321977,NA,NA,0.004795739602054486
-97.5,-38.5,283,0.03362412412921809,NA,NA,0.00506443651388013
-96.5,-38.5,284,0.02828401902971171,NA,NA,0.004831635598072022
-95.5,-38.5,285,0.025102548954441476,NA,NA,0.004324458421748731
-94.5,-38.5,286,0.013945622184443729,NA,NA,0.002505324730082608
-93.5,-38.5,287,0.012581815242944848,NA,NA,0.0025058778573623657
-92.5,-38.5,288,0.012512112074032177,NA,NA,0.00284816272783301
-91.5,-38.5,289,0.01305846842954546,NA,NA,0.002973801972700581
-90.5,-38.5,290,0.01205101875542575,NA,NA,0.0030460254395647413
-79.5,-38.5,301,0.02151440506163529,NA,NA,NA
-78.5,-38.5,302,0.019191083911536774,NA,NA,NA
-77.5,-38.5,303,0.016913104324078887,NA,NA,NA
-76.5,-38.5,304,0.01573257447207734,NA,NA,NA
-75.5,-38.5,305,0.015594501093162867,NA,NA,NA
-74.5,-38.5,306,0.016789292231883503,NA,NA,NA
-73.5,-38.5,307,0.021010469940323184,NA,NA,NA
-72.5,-38.5,308,0.023130419458653545,NA,NA,NA
-71.5,-38.5,309,0.04925975469886258,NA,NA,NA
-70.5,-38.5,310,0.056108589984021184,NA,NA,NA
-69.5,-38.5,311,0.04203345679843883,NA,NA,0.016479026349051476
-68.5,-38.5,312,0.09933219725466931,NA,NA,0.031079186985851163
-67.5,-38.5,313,0.1677167142179223,NA,NA,0.04318489653196616
-66.5,-38.5,314,0.08107377197339427,NA,NA,0.03038962605114489
-65.5,-38.5,315,0.04930400504153922,NA,NA,0.025352539684944338
-64.5,-38.5,316,0.054277536704560224,NA,NA,0.043330760064533645
-63.5,-38.5,317,0.054120239307361276,NA,NA,0.013141219182205049
-62.5,-38.5,318,0.06220348120712086,NA,NA,0.012735347683298665
-61.5,-38.5,319,0.06197606231155132,NA,NA,0.012269754224490947
-60.5,-38.5,320,0.062080005759235696,NA,NA,0.015837470352458378
-29.5,-38.5,345,0.009224746289854218,0.0024786470893198324,0.003164125684882846,0.00564081392029528
-28.5,-38.5,346,0.007707684121129051,0.002064914048089875,0.0023740718480415157,0.0045878169022817595
-27.5,-38.5,347,0.006132399174885814,0.002038412093915284,0.0023746195417931716,0.005043581484723646
-26.5,-38.5,348,0.0058584906496108105,0.0020460292051698256,0.0022156921854243495,0.005390682378018529
-25.5,-38.5,349,0.005844568243491273,0.0020750338715506,0.002140601684454079,0.005320842476556911
-24.5,-38.5,350,0.006106074186497755,0.0021110820819108425,0.0025948555406153516,0.005320842476556911
-23.5,-38.5,351,0.009561759694394725,0.00203480240451372,0.0024122270502655884,0.005111753420405105
-22.5,-38.5,352,0.006673012393949055,0.0016930511309251705,0.0018211686263653066,0.0037290768855608647
-21.5,-38.5,353,0.006731505589682281,0.001528850721695789,0.001758243776051171,0.003735506124178788
-20.5,-38.5,354,0.007262679600550606,0.0014616217896390765,0.0016421679720386676,0.00343151312914167
80.5,-38.5,452,0.014201107634982715,NA,NA,0.009843775401562074
81.5,-38.5,453,0.014578413394659982,NA,NA,0.009427193116261327
82.5,-38.5,454,0.01137270231727418,NA,NA,0.009389061195736457
83.5,-38.5,455,0.011454585660317318,NA,NA,0.008895311343015213
84.5,-38.5,456,0.012477045537584757,NA,NA,0.007705001623928122
85.5,-38.5,457,0.012104771560888444,NA,NA,0.007274047070726021
86.5,-38.5,458,0.009839358894972042,NA,NA,0.006471631072502791
87.5,-38.5,459,0.00935909423979689,NA,NA,0.005919587202513196
88.5,-38.5,460,0.009752968156475758,NA,NA,0.005971029837382119
89.5,-38.5,461,0.009758222653141765,NA,NA,0.005067757008560122
-99.5,-37.5,518,0.02857734718730249,NA,NA,0.005547731270224775
-98.5,-37.5,519,0.028711932651349692,NA,NA,0.005555722596002258
-97.5,-37.5,520,0.03287394805862463,NA,NA,0.007087450268162396
-96.5,-37.5,521,0.028055913957132268,NA,NA,0.006119335178761676
-95.5,-37.5,522,0.030333661369734005,NA,NA,0.006628284867485995
-94.5,-37.5,523,0.03309025760371443,NA,NA,0.006391642950314994
-93.5,-37.5,524,0.01730871376842081,NA,NA,0.0037836147973330726
-92.5,-37.5,525,0.013216346099046443,NA,NA,0.0026325945994802973
-91.5,-37.5,526,0.013216346099046443,NA,NA,0.0025950929177746716
-90.5,-37.5,527,0.013898301868010852,NA,NA,0.004167977956110514
-79.5,-37.5,538,0.029237106471521376,NA,NA,NA
-78.5,-37.5,539,0.027637665404404915,NA,NA,NA
-77.5,-37.5,540,0.02751636878714593,NA,NA,NA
-76.5,-37.5,541,0.02203933897365207,NA,NA,NA
-75.5,-37.5,542,0.0229028802634794,NA,NA,NA
-74.5,-37.5,543,0.02281137062372587,NA,NA,NA
-73.5,-37.5,544,0.028320887539546646,NA,NA,NA
-72.5,-37.5,545,0.030721311090584732,NA,NA,NA
-71.5,-37.5,546,0.02723469968860302,NA,NA,NA
-70.5,-37.5,547,0.025328214039915732,NA,NA,NA
-69.5,-37.5,548,0.02663452208234857,NA,NA,0.005858693124947313
-68.5,-37.5,549,0.030577627972959882,NA,NA,0.013619365259580605
-67.5,-37.5,550,0.028863493400547217,NA,NA,0.015342922530765322
-66.5,-37.5,551,0.02972037130834976,NA,NA,0.01794272076559789
-65.5,-37.5,552,0.02792432990530163,NA,NA,0.01831713068938262
-64.5,-37.5,553,0.022979863257562586,NA,NA,0.009358326984797452
-63.5,-37.5,554,0.016128064200798806,NA,NA,0.008695865898462846
-62.5,-37.5,555,0.020045677236467628,NA,NA,0.008763207951974696
-61.5,-37.5,556,0.016415662129043686,NA,NA,0.009235927140035252
-60.5,-37.5,557,0.023051525039265493,NA,NA,0.008686536518479388
-29.5,-37.5,578,0.006790785207306989,0.002196801938624675,0.0013663572047515565,0.0038670249209302025
-28.5,-37.5,579,0.005800694180031863,0.0023457991659367266,0.0018513980599225476,0.0038652441456586495
-27.5,-37.5,580,0.00678382668469806,0.002273982455654521,0.0017388632432471446,0.0037859337223862476
-26.5,-37.5,581,0.006954778866749849,0.0023751774597913747,0.0017428352717466376,0.00338996458355506
-25.5,-37.5,582,0.005686954771468654,0.002062841208543233,0.001611116932294464,0.003238930724740615
-24.5,-37.5,583,0.0058351555153908895,0.0021283368510165487,0.0019040719722274483,0.0036829714967750293
-23.5,-37.5,584,0.007075192501836395,0.002062449271071176,0.0017716425908576158,0.0036761614616129196
-22.5,-37.5,585,0.005197153205332302,0.0016215028486195342,0.0013510824316255137,0.002569279044155813
-21.5,-37.5,586,0.005460496111595254,0.0015935566346740007,0.0013358913351763934,0.002879832310723221
