X_coords,Y_coords,cellID,SKP_jan-mar,SKP_apr-jun,SKP_jul-sep,SKP_oct-dec
-99.5,-39.5,41,0.03022232080778619,NA,NA,0.02141734188445759
-98.5,-39.5,42,0.03416705940380031,NA,NA,0.020191475936748186
-97.5,-39.5,43,0.03305176547077735,NA,NA,0.01861057688095575
-96.5,-39.5,44,0.030757564521769726,NA,NA,0.017739430758128463
-95.5,-39.5,45,0.022801873733725525,NA,NA,0.014214205093863017
-94.5,-39.5,46,0.022458703501921605,NA,NA,0.014092687792038571
-93.5,-39.5,47,0.021621836930368222,NA,NA,0.014049379673313116
-92.5,-39.5,48,0.02249118431922356,NA,NA,0.013840417508180795
-91.5,-39.5,49,0.02003739053852809,NA,NA,0.0146137225468706
-90.5,-39.5,50,0.020860801829215857,NA,NA,0.014701890800949266
-79.5,-39.5,61,0.020827820021031368,NA,NA,NA
-78.5,-39.5,62,0.021491797351795856,NA,NA,NA
-77.5,-39.5,63,0.020312332074980125,NA,NA,NA
-76.5,-39.5,64,0.020545551650410266,NA,NA,NA
-75.5,-39.5,65,0.021049508504404638,NA,NA,NA
-74.5,-39.5,66,0.020414112903912363,NA,NA,NA
-73.5,-39.5,67,0.02080968643036572,NA,NA,NA
-72.5,-39.5,68,0.019733949562808863,NA,NA,NA
-71.5,-39.5,69,0.018939228060527686,NA,NA,NA
-70.5,-39.5,70,0.024069410693352635,NA,NA,NA
-69.5,-39.5,71,0.021994967307834422,NA,NA,0.018489516931063613
-68.5,-39.5,72,0.023174536034161638,NA,NA,0.015997403873424788
-67.5,-39.5,73,0.026403584249612526,NA,NA,0.017740419371262462
-66.5,-39.5,74,0.03272689147493583,NA,NA,0.021901961092516613
-65.5,-39.5,75,0.03470782179206005,NA,NA,0.023892091260654783
-64.5,-39.5,76,0.03967317458210077,NA,NA,0.025233743999130583
-63.5,-39.5,77,0.049162304717643504,NA,NA,0.026825809200208522
-62.5,-39.5,78,0.049130706914523634,NA,NA,0.026705500542493318
-61.5,-39.5,79,0.047665640616778776,NA,NA,0.025890940473936436
-60.5,-39.5,80,0.04874864247738113,NA,NA,0.02754179298434486
-29.5,-39.5,107,0.06519989545031193,0.02874919403570962,0.02662264640922083,0.03535257358333541
-28.5,-39.5,108,0.04963174914598247,0.021529872098646298,0.022958662248130413,0.034611004106697256
-27.5,-39.5,109,0.03704238312273323,0.017100666132581124,0.012437560521717041,0.026129334111605142
-26.5,-39.5,110,0.03518974397605907,0.01548711865386041,0.01833142277401792,0.02893468302100673
-25.5,-39.5,111,0.03321564139298699,0.016645081279884996,0.01929226822604769,0.027527447269386322
-24.5,-39.5,112,0.03394255123714758,0.016931742009060093,0.01907640738005566,0.025821333963245204
-23.5,-39.5,113,0.028448914022600903,0.014148159493621696,0.015225788780374349,0.022341782438094288
-22.5,-39.5,114,0.024825555111923435,0.012973196244744682,0.013616537839528207,0.01859196531851576
-21.5,-39.5,115,0.024709406915659867,0.010024773054147704,0.010911570291819106,0.0148202603892866
-20.5,-39.5,116,0.02097022678861938,0.009513029734177983,0.009398691183358222,0.013438909881466829
80.5,-39.5,214,0.011103926335864378,NA,NA,0.010333200836527355
81.5,-39.5,215,0.010918470597207363,NA,NA,0.010391045185418056
82.5,-39.5,216,0.01105190122801545,NA,NA,0.010545312800208734
83.5,-39.5,217,0.010832336628484514,NA,NA,0.010500478931976639
84.5,-39.5,218,0.01077991770142666,NA,NA,0.010500478931976639
85.5,-39.5,219,0.010590616741734324,NA,NA,0.010407740839191947
86.5,-39.5,220,0.010429473724213791,NA,NA,0.010041940103962862
87.5,-39.5,221,0.009848900483632817,NA,NA,0.00992627187833497
88.5,-39.5,222,0.00965921473625659,NA,NA,0.009678021146907554
89.5,-39.5,223,0.009769343663764399,NA,NA,0.01035357563524401
-99.5,-38.5,281,0.04770515678093071,NA,NA,0.02407871305086271
-98.5,-38.5,282,0.042889132792276616,NA,NA,0.022623291758295794
-97.5,-38.5,283,0.04212864143323304,NA,NA,0.023653630616082486
-96.5,-38.5,284,0.036235666195493434,NA,NA,0.02024935912690851
-95.5,-38.5,285,0.033380517829452894,NA,NA,0.018650443334220418
-94.5,-38.5,286,0.024960410984176663,NA,NA,0.01474957415080023
-93.5,-38.5,287,0.02494878422271032,NA,NA,0.015623867524985112
-92.5,-38.5,288,0.02469526568763283,NA,NA,0.01564844294703029
-91.5,-38.5,289,0.02445560040943561,NA,NA,0.015210360301741582
