X_coords,Y_coords,cellID,YFT_jan-mar,YFT_apr-jun,YFT_jul-sep,YFT_oct-dec
-99.5,-39.5,41,0.06160007615676897,NA,NA,0.019279148756702367
-98.5,-39.5,42,0.060187347776507284,NA,NA,0.01783888649329696
-97.5,-39.5,43,0.05820100390006008,NA,NA,0.018052058075015705
-96.5,-39.5,44,0.049468486627078825,NA,NA,0.015539762231175208
-95.5,-39.5,45,0.04560680986318985,NA,NA,0.013814181175135548
-94.5,-39.5,46,0.03608501559632285,NA,NA,0.015055696854967798
-93.5,-39.5,47,0.02759304113033069,NA,NA,0.01108576745897528
-92.5,-39.5,48,0.028936082648477007,NA,NA,0.011068244112171124
-91.5,-39.5,49,0.025387582040429797,NA,NA,0.01121526403271118
-90.5,-39.5,50,0.024444982529989466,NA,NA,0.009726685457970079
-79.5,-39.5,61,0.02201959245753488,NA,NA,NA
-78.5,-39.5,62,0.02418215921160302,NA,NA,NA
-77.5,-39.5,63,0.024094489423789507,NA,NA,NA
-76.5,-39.5,64,0.023700267178220803,NA,NA,NA
-75.5,-39.5,65,0.024655692202183915,NA,NA,NA
-74.5,-39.5,66,0.025078368243508963,NA,NA,NA
-73.5,-39.5,67,0.03221542267765703,NA,NA,NA
-72.5,-39.5,68,0.039621549457736535,NA,NA,NA
-71.5,-39.5,69,0.03494420760626187,NA,NA,NA
-70.5,-39.5,70,0.033362683373079856,NA,NA,NA
-69.5,-39.5,71,0.029946852225457836,NA,NA,0.020857618564216675
-68.5,-39.5,72,0.03799673567238956,NA,NA,0.019242917513199318
-67.5,-39.5,73,0.04920584386113167,NA,NA,0.022952943174999532
-66.5,-39.5,74,0.05503538100743356,NA,NA,0.026365153449571042
-65.5,-39.5,75,0.05981967880207296,NA,NA,0.028355336910388426
-64.5,-39.5,76,0.086161931593142893,NA,NA,0.02954323890498218
-63.5,-39.5,77,0.07981654281196111,NA,NA,0.02770522889299564
-62.5,-39.5,78,0.08679417929175107,NA,NA,0.027305354767157404
-61.5,-39.5,79,0.06742874090344352,NA,NA,0.022658385173914927
-60.5,-39.5,80,0.06023819131204785,NA,NA,0.02083796423727599
-29.5,-39.5,107,0.03163987246536327,0.010222933433240631,0.014292392301244903,0.018482208451164637
-28.5,-39.5,108,0.03709321771054202,0.01110921336120223,0.013705984589548328,0.019595093186992735
-27.5,-39.5,109,0.031287009667526004,0.01186653675205082,0.012367292191608845,0.026681283196818294
-26.5,-39.5,110,0.03237509678863751,0.012096942067054707,0.014053727292397539,0.02348024829966702
-25.5,-39.5,111,0.036720207558665736,0.011474155673817729,0.013947816081961176,0.02299809505431119
-24.5,-39.5,112,0.024480220257394863,0.01099094340711514,0.012704356964840768,0.020218748898569817
-23.5,-39.5,113,0.021408731992688203,0.009500985472865717,0.011393123802465618,0.01945370349401497
-22.5,-39.5,114,0.019812821652552475,0.00971429022314518,0.010895941252340216,0.016907019634367686
-21.5,-39.5,115,0.018154181089960662,0.006493690613047523,0.008236619504500825,0.013114610039887752
-20.5,-39.5,116,0.018704006662768776,0.006652094468463498,0.006441393471215704,0.011672573272038467
80.5,-39.5,214,0.01649884102743105,NA,NA,0.017046470352625215
81.5,-39.5,215,0.015374342566803405,NA,NA,0.017747384637602566
82.5,-39.5,216,0.01706871930539064,NA,NA,0.020577129516925776
83.5,-39.5,217,0.014222164801798018,NA,NA,0.017366993089972728
84.5,-39.5,218,0.013867837651720182,NA,NA,0.017329569858011696
85.5,-39.5,219,0.01318767943677644,NA,NA,0.014852464927042749
86.5,-39.5,220,0.01487915776841096,NA,NA,0.012826678215418106
87.5,-39.5,221,0.013988766402130997,NA,NA,0.012760386510643859
88.5,-39.5,222,0.014255463376640663,NA,NA,0.012983014142695488
89.5,-39.5,223,0.014398643820041567,NA,NA,0.013491324792564414
-99.5,-38.5,281,0.06525050103908243,NA,NA,0.01984115099829729
