X_coords,Y_coords,cellID,ALB_jan-mar,ALB_apr-jun,ALB_jul-sep,ALB_oct-dec
-99.5,-39.5,41,0.004553498748703226,NA,NA,0.0028842197818221907
-98.5,-39.5,42,0.004613445036514584,NA,NA,0.0028723351247430286
-97.5,-39.5,43,0.004700138281581411,NA,NA,0.0028723351247430286
-96.5,-39.5,44,0.003809479554623706,NA,NA,0.0027938248064717066
-95.5,-39.5,45,0.004366329349899782,NA,NA,0.0027013962541105954
-94.5,-39.5,46,0.0033428109501542464,NA,NA,0.0024733935007080336
-93.5,-39.5,47,0.004261522184011993,NA,NA,0.002366066104709026
-92.5,-39.5,48,0.0033266017504073953,NA,NA,0.002424319803055276
-91.5,-39.5,49,0.003986933551305598,NA,NA,0.0031251956019979587
-90.5,-39.5,50,0.004005080282649285,NA,NA,0.0037370409258366535
-79.5,-39.5,61,0.003843772986596781,NA,NA,NA
-78.5,-39.5,62,0.003751896348729758,NA,NA,NA
-77.5,-39.5,63,0.0035015426451722887,NA,NA,NA
-76.5,-39.5,64,0.003315999100623744,NA,NA,NA
-75.5,-39.5,65,0.003407488557171209,NA,NA,NA
-74.5,-39.5,66,0.004344226561759877,NA,NA,NA
-73.5,-39.5,67,0.003816019039787406,NA,NA,NA
-72.5,-39.5,68,0.003816019039787406,NA,NA,NA
-71.5,-39.5,69,0.004206763378439652,NA,NA,NA
-70.5,-39.5,70,0.004714945659291012,NA,NA,NA
-69.5,-39.5,71,0.004714945659291012,NA,NA,0.00276806951060239
-68.5,-39.5,72,0.005179405010886277,NA,NA,0.0030480828499473652
-67.5,-39.5,73,0.005827440333146288,NA,NA,0.00343680108831184
-66.5,-39.5,74,0.005998758195003502,NA,NA,0.003545655640219281
-65.5,-39.5,75,0.0062858628758442545,NA,NA,0.0037347196264057546
-64.5,-39.5,76,0.006250534112969664,NA,NA,0.003848625393283918
-63.5,-39.5,77,0.006708064067592922,NA,NA,0.004045859164003402
-62.5,-39.5,78,0.008034804330941128,NA,NA,0.003981426659276252
-61.5,-39.5,79,0.008034804330941128,NA,NA,0.003981426659276252
-60.5,-39.5,80,0.007836483080820352,NA,NA,0.003891373378922298
-29.5,-39.5,107,0.008232351598458948,0.003997645158800021,0.003778083399293274,0.004031852035882383
-28.5,-39.5,108,0.006907558342572636,0.003196641423520106,0.0041775951614204205,0.004048116305922665
-27.5,-39.5,109,0.005297537436977217,0.0028242400365843393,0.0022914067862963685,0.0036970304860222225
-26.5,-39.5,110,0.007969553228206434,0.002514192454836714,0.0035603861940601833,0.005257864275929159
-25.5,-39.5,111,0.008551008199768605,0.003598171907424091,0.0036130552279071975,0.00496303895173243
-24.5,-39.5,112,0.008333447027810694,0.0034661743425951097,0.004367351537383943,0.004706989438813914
-23.5,-39.5,113,0.008399086099228967,0.003523522362126233,0.004288011874044044,0.004569770069924513
-22.5,-39.5,114,0.007817857712094168,0.0034786092112838486,0.003728025805713153,0.003973135063718522
-21.5,-39.5,115,0.006965325412570439,0.0018160630714735776,0.0022977883356869212,0.0029457616150493178
-20.5,-39.5,116,0.006501259096301091,0.0018368796242278775,0.0018549751401024685,0.0025786076369005047
80.5,-39.5,214,0.0058909673799723014,NA,NA,0.008967847605605915
81.5,-39.5,215,0.0058909673799723014,NA,NA,0.008986924456456744
82.5,-39.5,216,0.005092259979815288,NA,NA,0.007741183217725378
83.5,-39.5,217,0.005021914138022865,NA,NA,0.007634525241191815
84.5,-39.5,218,0.004970092700133974,NA,NA,0.007634525241191815
85.5,-39.5,219,0.005021914138022865,NA,NA,0.007888933261785787
86.5,-39.5,220,0.004973315222813449,NA,NA,0.0075884602432307715
87.5,-39.5,221,0.005029688030456189,NA,NA,0.0075884602432307715
88.5,-39.5,222,0.004988384567139699,NA,NA,0.0075884602432307715
89.5,-39.5,223,0.005612584206009891,NA,NA,0.009796782902488164
-99.5,-38.5,281,0.00582954877785987,NA,NA,0.002906149434599115
-98.5,-38.5,282,0.004851188958534616,NA,NA,0.0029018116525544118
-97.5,-38.5,283,0.005796957919935332,NA,NA,0.00288985471686005
-96.5,-38.5,284,0.0059571132017951604,NA,NA,0.0028846481321721314
-95.5,-38.5,285,0.005735816390095409,NA,NA,0.002782689112090762
-94.5,-38.5,286,0.00558448821157891,NA,NA,0.0026705327011897822
-93.5,-38.5,287,0.005134027126689407,NA,NA,0.003056730422473311
-92.5,-38.5,288,0.010838901376373304,NA,NA,0.004039805150732407
-91.5,-38.5,289,0.003988754009739458,NA,NA,0.002942206496834223
