"","Comp.1","Comp.2"
"1",-0.0999393208974088,0.0124623835269628
"2",-0.126916742112398,-0.0201002619095439
"3",-0.131591753519837,-0.0228264701279369
"4",-0.129694770115854,-0.0220963363411755
"5",-0.132245343246265,-0.0225429256204641
"6",-0.148706084135938,-0.0277953323585391
"7",-0.140530259834923,-0.0278176881207349
"8",-0.14191367659134,-0.0278045198239119
"9",-0.144132297045402,-0.0278417309481516
"10",-0.143705917460028,-0.0290231393101599
"11",-0.133133178608243,-0.0181771563231378
"12",-0.135212193860498,-0.018156465302721
"13",-0.136559036761471,-0.0207476064377775
"14",-0.138784918658729,-0.0233563941706773
"15",-0.14005951374378,-0.0161983820840195
"16",-0.13447043526731,-0.0143688194954059
"17",-0.135433437620417,-0.0199157605101356
"18",-0.120971099591877,-0.0137853987875637
"19",-0.127748064333462,-0.0194118403294225
"20",-0.129929513213776,-0.022965426167955
"21",-0.130340368533839,-0.0227483125859933
"22",-0.135906112184202,-0.0243157964695381
"23",-0.109835624208474,-0.00685575325720274
"24",-0.144816266544542,-0.0275507572042023
"25",-0.138875731752409,-0.0281031638069367
"26",-0.147200835783435,-0.0300012789592859
"27",-0.144226909230903,-0.028046373814884
"28",-0.138721738929046,-0.0209836989040785
"29",-0.132585438496348,-0.0134027601335391
"30",-0.129264190942184,-0.0121110129713014
"31",-0.134777750194888,-0.0140218080739874
"32",-0.140546743816289,-0.027021580170397
"33",-0.135977986079795,-0.00726871450361615
"34",-0.133888767993808,-0.0175430706549886
"35",-0.126107155061201,-0.0102663851864865
"36",-0.127704695099332,-0.019745107042092
"37",-0.128224154252209,-0.0214776319906601
"38",-0.130795946963874,-0.0229524389329928
"39",-0.12959425501027,-0.0236374685234136
"40",-0.123759031377832,-0.0137370638956897
"41",-0.100293404759866,0.0203184268744715
"42",-0.1471422299155,-0.030399781758682
"43",-0.141870838303656,-0.029476506929612
"44",-0.153158030427457,-0.0316977045364723
"45",-0.131787188638534,-0.0207066612166498
"46",-0.134735861693527,-0.0209681026575745
"47",-0.132227418817924,-0.0178094308696485
"48",-0.126308127698713,-0.0064616988804308
"49",-0.139200830410527,-0.0256386681620994
"50",-0.1379266781738,-0.0223445187836457
"51",-0.13095023445971,-0.00409185259940672
"52",-0.136902273979444,-0.0158748398767339
"53",-0.136036111358891,-0.019371360015351
"54",-0.125382245124134,-0.0119710782257552
"55",-0.128476451882694,-0.0205173963912992
"56",-0.128928964347627,-0.0215323952813191
"57",-0.130910164283068,-0.0241360759524509
"58",-0.132089666481825,-0.0243185779733374
"59",-0.131627147343445,-0.0255565348973102
"60",-0.0978817534242351,0.0167535815680541
"61",-0.0993657100817947,0.0188799732156638
"62",-0.146017465021313,-0.0323289149502401
"63",-0.139115401931186,-0.0286971544859024
"64",-0.130114281272741,-0.0221758104499683
"65",-0.128894774822211,-0.0196122797825682
"66",-0.129952332929899,-0.0163376069615223
"67",-0.13103912443186,-0.0086123346132179
"68",-0.141706708161741,-0.0266090899501824
"69",-0.138197274444269,-0.0174367938140093
"70",-0.133713443060559,-0.0205279658130862
"71",-0.138057927523553,-0.0201210025011546
"72",-0.134858089656057,-0.021999874021384
"73",-0.124334243841336,-0.00591311462502723
"74",-0.122042832777084,-0.0136919154294756
"75",-0.12484389795942,-0.0191036688619636
"76",-0.132044761335629,-0.0236469999681512
"77",-0.128763563658427,-0.0230752865980385
"78",-0.136242768533626,-0.0271463028420448
"79",-0.140511024806663,-0.029171854455746
"80",-0.0877184390562709,0.0087063542770596
"81",-0.092838397025564,0.00796317608006387
"82",-0.155148817114819,-0.0345305022264586
"83",-0.131593137531199,-0.0210696396682007
"84",-0.127091733527311,-0.0181794592536749
"85",-0.132815942087395,-0.0130024884886325
"86",-0.140705271049957,-0.0278036597784599
"87",-0.142385657836575,-0.0207255784441493
"88",-0.13242740146864,-0.0211947530988246
"89",-0.134186925249641,-0.0217786863848198
"90",-0.138456046809928,-0.0241809488049481
"91",-0.144615914022323,-0.0273972741374323
"92",-0.125095099317097,-0.00780673747280303
"93",-0.126145500957617,-0.0177914717150972
"94",-0.132618801936937,-0.0220730937719525
"95",-0.130598558030667,-0.0235322868489909
"96",-0.131660988556493,-0.0251365044038825
"97",-0.159888070954192,-0.0342425366025672
"98",-0.145529906734882,-0.0308538950785024
"99",-0.128160232898082,-0.0243134277802591
"100",-0.1277617916742,-0.0229891827205152
"101",-0.131430243876784,-0.0219489371661711
"102",-0.134671999497454,-0.0196661244729888
"103",-0.133683950456895,-0.0243877990726723
"104",-0.115839464483591,-0.0103526797342456
"105",-0.131297043977472,-0.0171510085830923
"106",-0.131087222629815,-0.0186966609171723
"107",-0.135833783178129,-0.0218022463232924
"108",-0.139289052837807,-0.0249427378346652
"109",-0.141818297957423,-0.0259349889134652
"110",-0.142704235246522,-0.0266011680667187
"111",-0.133797256847449,-0.0176952344034617
"112",-0.12543161186462,-0.0104063966769489
"113",-0.131786349833902,-0.0212322857170532
"114",-0.133493725550054,-0.0232426616089562
"115",-0.133332995108323,-0.0248241365730412
"116",-0.135155550529044,-0.0246663644748755
"117",-0.148877718840496,-0.0292177509677436
"118",-0.145033747981836,-0.0279476867136576
"119",-0.13292033095616,-0.0245260338415206
"120",-0.134693042706537,-0.0216882947337336
