Comp,yft,skp,alb,fri,bet,bft,sbft,slt,bon,lit,swo,blum,sail,shos,strm,sau,lesc
1,0.3765189156289005,0.10487323905482292,-0.13811615547622358,0.9547731336403279,0.39785028096445874,0.22954792052337625,0.09270841902317835,-0.058117529347623535,0.3748054954283203,0.5436395178095619,-0.03351794733712139,-0.1895447123350897,0.4535683098104178,-0.189716967942472,-0.05999320075819151,0.047502886421243284,-0.04858635634358779
0.3765189156289005,1,0.656430419971555,0.13592381247996385,0.2726294077514681,0.6206269530639006,0.09871298525680473,0.4577554460195974,-0.11250310445697531,0.1256308308577622,0.1511107978965071,0.4854050769756482,0.4843926448967629,0.39864936953890934,-0.10285836609223618,0.26968253030836703,-0.1608662954327483,0.06938122516303662
0.10487323905482292,0.656430419971555,1,0.31922746778037586,0.015050681486322461,0.5138873275908813,0.007390177229330614,0.43282439292852765,-0.09505473708338782,-0.010084748357321227,0.057045428098610816,0.4584922569616289,0.4580363042326238,0.32719276046828344,-0.03125446722699096,0.36917750484155665,-0.21573964825096958,0.2726356858772632
-0.13811615547622358,0.13592381247996385,0.31922746778037586,1,-0.0641225704779243,0.17359510212494053,-0.02585484370232507,0.2404455041711378,0.17564796657037052,-0.025315925699089744,-0.050149851359998596,0.3464870034475426,0.30941458370276165,0.10649434796826998,0.08081411617606107,0.48974504441075967,-0.11879920762991962,0.3366144449251168
0.9547731336403279,0.2726294077514681,0.015050681486322461,-0.0641225704779243,1,0.2994523827825687,0.2130819019150482,0.029971149330982192,-0.04617273958208879,0.3499890958383661,0.5004768933820254,0.011065943898700019,-0.06358060630036916,0.3735361053105446,-0.10028556816179943,8.151490309174299e-4,0.02737016853107202,-0.026964355859136493
0.39785028096445874,0.6206269530639006,0.5138873275908813,0.17359510212494053,0.2994523827825687,1,0.08676250695491643,0.7570061486152313,-0.05369583999294685,0.18645397859235832,0.2824280028654938,0.5656985043788401,0.4230587541746534,0.5101663216195075,-9.665585899166332e-5,0.3953934414432594,-0.032849406497785984,0.07513043760387313
0.22954792052337625,0.09871298525680473,0.007390177229330614,-0.02585484370232507,0.2130819019150482,0.08676250695491643,1,-0.011837183379405605,-0.01464640084333497,0.17917804395165424,0.143275671736216,-0.029096051908813265,-0.027713367921730375,0.22456878913350428,-0.023703226116975302,-0.019824180240963416,0.10637534224864081,-0.014453563082933605
0.09270841902317835,0.4577554460195974,0.43282439292852765,0.2404455041711378,0.029971149330982192,0.7570061486152313,-0.011837183379405605,1,0.025855187383806724,-0.007888163895868047,0.04504911939097403,0.6267770547883099,0.4453133232393283,0.3166733338580901,0.06509575078937367,0.4104389934868799,-0.03603239418940331,0.10316212171315053
-0.058117529347623535,-0.11250310445697531,-0.09505473708338782,0.17564796657037052,-0.04617273958208879,-0.05369583999294685,-0.01464640084333497,0.025855187383806724,1,-0.013638450965593473,-0.030557254983578985,-0.01569772701407172,-0.06661206808047096,-0.015887247975204896,-0.054793319220168925,0.005182973004198651,0.03127802211153524,-0.03589016694478575
0.3748054954283203,0.1256308308577622,-0.010084748357321227,-0.025315925699089744,0.3499890958383661,0.18645397859235832,0.17917804395165424,-0.007888163895868047,-0.013638450965593473,1,0.4163988934495823,-0.024388813339255907,-0.03574049695080483,0.2627705110623429,-0.030084503346963554,-0.014559477885484227,0.14110995790611808,0.0360730465716302
