Sc_name,C_name,Code,Taxo_group,Tribe,Genera,Stock_name,Ocean,Ocean_region,Country,Local_area,Area,Lat,Lon,Period_study,Startyear_study,Finalyear_study,Total_size,Sex,Lmax,Wmax,Growth_size,Linf,k,to,Growth_method,Tmax,Tmax_Taylor,Maturity_size,Lm,Lm50,Tm,Tm50,Fecundity_methods,Fecundity_size,Fmeanbatch,Oocytes_gram,Fecundity_equation,Fecundity_slope,Fecundity_Lm50,Spawning_freq,Spawning_season,Spawning_duration,Size_eggs,WL_size,WL_a,WL_b,WL_units,Source,Source_label,Source_format
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,NA,Northern central Gulf of Mexico and Bimini,Northwest Atlantic Ocean (Northern Gulf of Mexico and Bahamas),25,-80.2,1997-1998,1997,1998,NA,FF,180.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Franks2000,199,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,NA,Northern central Gulf of Mexico and Bimini,Northwest Atlantic Ocean (Northern Gulf of Mexico and Bahamas),25,-80.2,1997-1998,1997,1998,NA,MM,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Franks2000,199,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Southwest Atlantic stock,Atlantic,Southwest,Brazil,The Royal Charlotte Bank and Abrolhos Bank,Southwest Atlantic Ocean (Central coast of Brazil),-16.8,-38,1993-2000,1993,2000,43,B,176,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0.0016,3.275,W in g and FL in cm,Frota2004,201,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,NA,"Grenada, St. Lucia, St. Vincent and the Grenadines, Barbados, and Dominica",Northwest Atlantic Ocean (Eastern Caribbean Sea),13.4,-63.3,1995-1999,1995,1999,NA,B,170,23.03166672,NA,203.5,0.47,NA,Size-frequency,NA,6.382978723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06E-06,3.028,W in kg and FL in cm,George2000,210,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest,USA,Cape Hatteras,"Northwest Atlantic Ocean (Cape Hatteras, USA)",35.1,-74.4,1964-1972,1964,1972,795,B,200.2253855,NA,126,216.0419138,0.152,3.672,Otoliths,5,23.40884211,NA,86.29695532,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-Aug,3,NA,795,1.85E-06,3.218,W in kg and TL in cm,Hogarth1976,255,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest,USA,Cape Hatteras,"Northwest Atlantic Ocean (Cape Hatteras, USA)",35.1,-74.4,1964-1972,1964,1972,795,BB,200.2253855,NA,126,216.0419138,0.152,3.672,Otoliths,5,23.40884211,NA,90.00395413,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jun-Aug,3,NA,795,1.85E-06,3.218,W in kg and TL in cm,Hogarth1976,255,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest,USA,Cape Hatteras,"Northwest Atlantic Ocean (Cape Hatteras, USA)",35.1,-74.4,1964-1972,1964,1972,617,FF,104.3376829,39.5,NA,NA,NA,NA,NA,NA,NA,NA,97.41795176,NA,1,NA,Unreliable fecundity estimates,NA,NA,NA,NA,NA,NA,NA,Jun-Aug [peak: Jun-Jul],3,NA,NA,2.11E-06,3.192,W in kg and TL in cm,Hogarth1976,255,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest,USA, Cape Hatteras,"Northwest Atlantic Ocean (Cape Hatteras, USA)",35.1,-74.4,1964-1972,1964,1972,178,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5899565,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16E-06,3.181,W in kg and TL in cm,Hogarth1976,255,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Northwest & Caribbean Sea,NA,From Fernandina Beach to Key West and northern coast of Bahamas,Northwest Atlantic Ocean (Eastern coast of Florida and Bahamas),25.5,-79.2,2002-2006,2002,2006,298,BF,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,88,92.5,NA,0.64,"Histological examination of ovaries, gonadal-somatic index and volumetric technique to count individual oocytes",3,1055000,NA,BF(in millions)=0.545+0.0372*OFBW (ovary free body weight in kg),NA,NA,5,Jun-Aug,3,NA,NA,NA,NA,NA,Jenkins2009,361,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest,Bermuda,Bermuda,Northwest Atlantic Ocean (Bermuda),31.3,-65.1,1995-1998,1995,1998,512,B,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luckhurst2000,354,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest & Caribbean Sea,NA,From Fernandina Beach to Key West and northern coast of Bahamas,Northwest Atlantic Ocean (Eastern coast of Florida and Bahamas),25,-80.2,1997-2006,1997,2006,469,BB,195.6,51,469,170.1,0.381,-1.63,Otoliths,9.3,6.244015748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,6.10E-10,3.3298,W in kg and FL in mm,McBride2008,75,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest & Caribbean Sea,NA,From Fernandina Beach to Key West and northern coast of Bahamas,Northwest Atlantic Ocean (Eastern coast of Florida and Bahamas),25,-80.2,1997-2006,1997,2006,240,FF,180.4,46,240,179.7,0.317,-1.911,Otoliths,9.3,7.552722397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,McBride2008,75,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Northwest Atlantic stock,Atlantic,Northwest & Caribbean Sea,NA,From Fernandina Beach to Key West and northern coast of Bahamas,Northwest Atlantic Ocean (Eastern coast of Florida and Bahamas),25,-80.2,1997-2006,1997,2006,181,MM,158.5,32.8,181,156.9,0.44,-1.64,Otoliths,9.1,5.178181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,McBride2008,75,pdf
Acanthocybium solandri,Wahoo,WAH,Spanish mackerels,Scomberomorini,Acanthocybium,Caribbean stock,Atlantic,Caribbean Sea,St. Lucia,St. Lucia,Northwest Atlantic Ocean (St. Lucia),13.4,-60.3,1982,1982,1982,NA,B,152.5,NA,NA,158,0.34,NA,Size-frequency,NA,8.823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murray1987,402,pdf
